"Date","Video Views","Profile Views","Likes","Comments","Shares"
"March 31","935","3","100","37","3"
"April 1","704","1","81","16","4"
"April 2","965","5","113","42","7"
"April 3","1007","4","103","35","6"
"April 4","1003","7","108","29","5"
"April 5","1645","5","175","51","7"
"April 6","1341","9","140","33","14"
"April 7","897","4","83","21","7"
"April 8","1876","9","271","63","13"
"April 9","1296","8","133","41","5"
"April 10","1694","3","175","65","6"
"April 11","2536","9","322","7","12"
"April 12","1814","6","242","92","14"
"April 13","1080","6","99","39","4"
"April 14","731","2","71","17","1"
"April 15","680","3","72","20","2"
"April 16","937","2","89","21","2"
"April 17","796","5","95","2","1"
"April 18","887","2","71","30","1"
"April 19","737","9","81","5","3"
"April 20","521","1","51","1","0"
"April 21","422","0","42","15","0"
"April 22","512","5","37","14","2"
"April 23","537","0","47","15","2"
"April 24","626","2","55","16","4"
"April 25","585","3","63","1","3"
"April 26","646","6","66","20","5"
"April 27","577","2","59","14","4"
"April 28","508","3","38","1","1"
"April 29","586","2","60","18","3"
"April 30","621","3","80","19","2"
"May 1","1587","9","207","67","6"
"May 2","2222","13","290","6","33"
"May 3","2064","13","286","9","10"
"May 4","782","5","83","33","4"
"May 5","383","6","51","0","2"
"May 6","342","0","30","1","2"
"May 7","389","3","39","0","2"
"May 8","408","2","36","0","0"
"May 9","465","2","44","16","0"
"May 10","603","5","63","23","1"
"May 11","590","9","58","17","1"
"May 12","399","0","33","12","2"
"May 13","367","1","34","12","7"
"May 14","463","6","44","0","2"
"May 15","453","2","57","0","6"
"May 16","555","2","71","30","3"
"May 17","568","2","62","23","2"
"May 18","589","3","64","17","2"
"May 19","376","2","34","15","1"
"May 20","378","3","43","13","6"
"May 21","471","4","44","18","5"
"May 22","475","5","46","17","5"
"May 23","485","1","49","12","2"
"May 24","588","3","51","0","2"
"May 25","652","8","65","20","0"
"May 26","503","1","38","0","0"
"May 27","391","3","37","11","1"
"May 28","461","4","41","10","2"
"May 29","488","2","58","15","1"
"May 30","463","3","43","0","2"
"May 31","409","5","37","0","3"
"June 1","356","2","34","2","2"
"June 2","321","2","27","3","4"
"June 3","263","1","29","0","2"
"June 4","271","3","20","1","4"
"June 5","256","1","27","-7","0"
"June 6","247","1","12","-1","0"
"June 7","275","0","23","-1","5"
"June 8","227","1","14","-1","2"
"June 9","177","0","18","-1","0"
"June 10","183","1","9","-1","0"
"June 11","214","0","22","-1","2"
"June 12","246","3","23","-1","0"
"June 13","244","1","19","0","1"
"June 14","248","2","26","-3","1"
"June 15","262","1","13","0","0"
"June 16","181","1","13","-1","0"
"June 17","208","0","11","1","3"
"June 18","200","1","17","-2","0"
"June 19","218","3","23","-2","0"
"June 20","188","3","20","0","1"
"June 21","201","2","14","-2","3"
"June 22","160","3","8","-2","0"
"June 23","287","1","21","3","1"
"June 24","1142","8","148","3","5"
"June 25","2191","12","392","-19","16"
"June 26","1001","7","129","-4","8"
"June 27","1298","7","163","0","6"
"June 28","594","3","69","0","4"
"June 29","519","4","46","0","2"
"June 30","503","6","48","-3","5"
"July 1","372","1","49","1","0"
"July 2","353","4","46","-4","2"
"July 3","360","4","37","0","1"
"July 4","296","3","32","0","3"
"July 5","210","1","22","-2","0"
"July 6","1272","8","105","6","3"
"July 7","423","0","36","1","0"
"July 8","4481","18","858","18","68"
"July 9","2256","7","472","-2","36"
"July 10","1587","7","281","0","29"
"July 11","1366","10","257","1","19"
"July 12","1663","6","332","-32","29"
"July 13","1071","3","176","-2","27"
"July 14","1021","2","173","-1","17"
"July 15","683","2","97","-1","11"
"July 16","566","4","83","-1","15"
"July 17","535","4","56","0","3"
"July 18","552","3","89","1","5"
"July 19","546","5","70","-3","5"
"July 20","406","1","62","-2","2"
"July 21","471","3","51","1","3"
"July 22","566","1","88","-2","6"
"July 23","593","1","99","0","5"
"July 24","633","1","105","3","5"
"July 25","1184","6","311","5","32"
"July 26","905","8","202","0","23"
"July 27","609","2","107","-1","8"
"July 28","567","3","91","0","8"
"July 29","431","5","74","0","7"
"July 30","391","0","59","4","4"
"July 31","568","1","109","-8","2"
"August 1","522","5","93","1","7"
"August 2","545","1","94","0","5"
"August 3","602","4","103","0","3"
"August 4","561","2","95","-2","7"
"August 5","628","2","101","1","11"
"August 6","530","1","88","0","6"
"August 7","595","1","94","-1","11"
"August 8","556","1","86","0","6"
"August 9","507","1","68","0","3"
"August 10","545","4","62","0","3"
"August 11","658","3","91","-2","6"
"August 12","1617","6","311","3","21"
"August 13","1839","9","381","1","30"
"August 14","1442","3","236","-4","17"
"August 15","1410","9","223","-2","11"
"August 16","1301","2","199","2","9"
"August 17","1049","4","132","0","5"
"August 18","885","1","144","3","6"
"August 19","1292","3","256","0","9"
"August 20","2345","10","545","5","37"
"August 21","1490","4","251","0","25"
"August 22","1226","4","169","-2","15"
"August 23","1446","5","251","-1","17"
"August 24","1304","7","173","0","15"
"August 25","810","1","141","-1","2"
"August 26","1084","3","151","1","8"
"August 27","965","5","125","0","8"
"August 28","992","6","141","0","1"
"August 29","1427","9","232","2","14"
"August 30","1471","4","192","3","14"
"August 31","1101","6","142","1","7"
"September 1","807","1","102","0","4"
"September 2","699","3","81","0","1"
"September 3","1008","5","120","2","15"
"September 4","1171","5","160","5","19"
"September 5","1423","5","210","0","7"
"September 6","1703","5","186","3","6"
"September 7","1339","4","156","2","4"
"September 8","1103","2","97","-3","6"
"September 9","1270","5","138","6","4"
"September 10","2453","7","170","0","9"
"September 11","4545","6","275","3","5"
"September 12","3374","14","288","2","7"
"September 13","5300","12","355","2","3"
"September 14","1887","8","179","2","8"
"September 15","1438","7","153","2","5"
"September 16","1791","5","211","5","14"
"September 17","2063","7","243","2","9"
"September 18","2148","8","247","0","7"
"September 19","2527","15","253","6","16"
"September 20","2314","17","251","4","14"
"September 21","1523","12","165","-15","9"
"September 22","1153","10","123","1","4"
"September 23","1028","2","118","3","1"
"September 24","1088","3","122","1","2"
"September 25","1075","3","121","-1","17"
"September 26","1130","5","137","-1","11"
"September 27","1325","11","142","-2","3"
"September 28","960","3","97","2","6"
"September 29","711","4","79","0","1"
"September 30","830","2","90","1","10"
"October 1","762","3","87","0","5"
"October 2","856","1","99","1","4"
"October 3","828","3","114","0","1"
"October 4","838","2","90","1","2"
"October 5","682","2","80","-1","3"
"October 6","487","4","51","-2","0"
"October 7","513","5","36","1","0"
"October 8","511","2","53","0","2"
"October 9","529","5","52","-2","0"
"October 10","618","1","50","0","1"
"October 11","1412","5","86","1","2"
"October 12","3470","1","99","-1","0"
"October 13","579","3","40","-1","2"
"October 14","509","0","53","0","9"
"October 15","457","4","45","-5","0"
"October 16","403","0","41","0","5"
"October 17","403","0","26","1","3"
"October 18","591","1","48","2","1"
"October 19","404","1","44","0","0"
"October 20","262","1","19","-3","1"
"October 21","330","0","29","0","1"
"October 22","542","2","59","0","0"
"October 23","700","1","70","-26","2"
"October 24","653","3","64","0","4"
"October 25","710","2","77","1","2"
"October 26","546","2","49","-1","1"
"October 27","416","4","30","-37","3"
